2018-10-26,1,65.7476
2018-10-27,1,65.6345
2018-10-30,1,65.8129
2018-10-31,1,65.7742
2018-11-01,1,65.5962
2018-11-02,1,65.6517
2018-11-03,1,65.5799
2018-11-07,1,65.9912
2018-11-08,1,66.0918
2018-11-09,1,66.2155
2018-11-10,1,66.8497
2018-11-13,1,67.5238
2018-11-14,1,67.6812
2018-11-15,1,67.9975
2018-11-16,1,66.6159
2018-11-17,1,65.9931
2018-11-20,1,66.0081
2018-11-21,1,65.5871
2018-11-22,1,65.9485
2018-11-23,1,65.6067
2018-11-24,1,65.6664
2018-11-27,1,66.5072
2018-11-28,1,66.7800
2018-11-29,1,66.9436
